STABBR,COSTT4_A,ADM_RATE,UNITID,CONTROL,Year,STABBR_2,COSTT4_A_2,ADM_RATE_2,CONTROL_2,Year_2,STABBR_3,COSTT4_A_3,ADM_RATE_3,CONTROL_3,Year_3,STABBR_4,COSTT4_A_4,ADM_RATE_4,CONTROL_4,Year_4,STABBR_5,COSTT4_A_5,ADM_RATE_5,CONTROL_5,Year_5,STABBR_6,COSTT4_A_6,ADM_RATE_6,CONTROL_6,Year_6,STABBR_7,COSTT4_A_7,ADM_RATE_7,CONTROL_7,Year_7,STABBR_8,COSTT4_A_8,ADM_RATE_8,CONTROL_8,Year_8,STABBR_9,COSTT4_A_9,ADM_RATE_9,CONTROL_9,Year_9,STABBR_10,COSTT4_A_10,ADM_RATE_10,CONTROL_10,Year_10,STABBR_11,COSTT4_A_11,ADM_RATE_11,CONTROL_11,Year_11,STABBR_12,COSTT4_A_12,ADM_RATE_12,CONTROL_12,Year_12,STABBR_13,COSTT4_A_13,ADM_RATE_13,CONTROL_13,Year_13,STABBR_14,COSTT4_A_14,ADM_RATE_14,CONTROL_14,Year_14,STABBR_15,COSTT4_A_15,ADM_RATE_15,CONTROL_15,Year_15,STABBR_16,COSTT4_A_16,ADM_RATE_16,CONTROL_16,Year_16,STABBR_17,COSTT4_A_17,ADM_RATE_17,CONTROL_17,Year_17,STABBR_18,COSTT4_A_18,ADM_RATE_18,CONTROL_18,Year_18,STABBR_19,COSTT4_A_19,ADM_RATE_19,CONTROL_19,Year_19,STABBR_20,COSTT4_A_20,ADM_RATE_20,CONTROL_20,Year_20,STABBR_21,COSTT4_A_21,ADM_RATE_21,CONTROL_21,Year_21,STABBR_22,COSTT4_A_22,ADM_RATE_22,CONTROL_22,Year_22,STABBR_23,COSTT4_A_23,ADM_RATE_23,CONTROL_23,Year_23,STABBR_24,COSTT4_A_24,ADM_RATE_24,CONTROL_24,Year_24,STABBR_25,COSTT4_A_25,ADM_RATE_25,CONTROL_25,Year_25,STABBR_26,COSTT4_A_26,ADM_RATE_26,CONTROL_26,Year_26,STABBR_27,COSTT4_A_27,ADM_RATE_27,CONTROL_27,Year_27
AL,,,100654,1.0,1996.0,AL,,,1.0,1997.0,AL,,,1.0,1998.0,AL,,,1.0,1999.0,AL,,,1.0,2000.0,AL,,0.7505,1.0,2001.0,AL,,0.5575,1.0,2002.0,AL,,0.4457,1.0,2003.0,AL,,0.4751,1.0,2004.0,AL,,0.4199,1.0,2005.0,AL,,0.4118,1.0,2006.0,AL,,0.3182,1.0,2007.0,AL,,0.49,1.0,2008.0,AL,13242.0,0.4726,1.0,2009.0,AL,13762.0,0.5129,1.0,2010.0,AL,14965.0,0.501,1.0,2011.0,AL,17351.0,0.5438,1.0,2012.0,AL,18888.0,0.8989,1.0,2013.0,AL,21475.0,0.5256,1.0,2014.0,AL,20809.0,0.6538,1.0,2015.0,AL,22667.0,0.8738,1.0,2016.0,AL,22886.0,0.9027,1.0,2017.0,AL,22489.0,0.8986,1.0,2018.0,AL,23053.0,0.9175,1.0,2019.0,AL,23445.0,0.8965,1.0,2020.0,AL,21924.0,0.716,1.0,2021.0,AL,23167.0,0.684,1.0,2022.0
AL,,,100663,1.0,1996.0,AL,,,1.0,1997.0,AL,,,1.0,1998.0,AL,,,1.0,1999.0,AL,,,1.0,2000.0,AL,,0.9098,1.0,2001.0,AL,,0.9117,1.0,2002.0,AL,,0.8049,1.0,2003.0,AL,,0.8592,1.0,2004.0,AL,,0.8769,1.0,2005.0,AL,,0.8778,1.0,2006.0,AL,,0.8778,1.0,2007.0,AL,,0.851,1.0,2008.0,AL,16955.0,0.8357,1.0,2009.0,AL,18003.0,0.8243,1.0,2010.0,AL,19547.0,0.7223,1.0,2011.0,AL,20441.0,0.7223,1.0,2012.0,AL,19990.0,0.8673,1.0,2013.0,AL,20621.0,0.8569,1.0,2014.0,AL,22232.0,0.6043,1.0,2015.0,AL,22684.0,0.5814,1.0,2016.0,AL,24129.0,0.9181,1.0,2017.0,AL,24347.0,0.9211,1.0,2018.0,AL,24495.0,0.7366,1.0,2019.0,AL,25542.0,0.806,1.0,2020.0,AL,26248.0,0.8854,1.0,2021.0,AL,26257.0,0.8668,1.0,2022.0
AL,,,100706,1.0,1996.0,AL,,,1.0,1997.0,AL,,,1.0,1998.0,AL,,,1.0,1999.0,AL,,,1.0,2000.0,AL,,0.8381,1.0,2001.0,AL,,0.905,1.0,2002.0,AL,,0.8756,1.0,2003.0,AL,,0.8944,1.0,2004.0,AL,,0.8716,1.0,2005.0,AL,,0.8834,1.0,2006.0,AL,,0.88,1.0,2007.0,AL,,0.8917,1.0,2008.0,AL,16876.0,0.7209,1.0,2009.0,AL,17064.0,0.6614,1.0,2010.0,AL,19072.0,0.6368,1.0,2011.0,AL,19687.0,0.7766,1.0,2012.0,AL,20306.0,0.8062,1.0,2013.0,AL,21107.0,0.8203,1.0,2014.0,AL,20999.0,0.812,1.0,2015.0,AL,22059.0,0.7628,1.0,2016.0,AL,22108.0,0.8123,1.0,2017.0,AL,23441.0,0.8087,1.0,2018.0,AL,23917.0,0.8257,1.0,2019.0,AL,24861.0,0.7711,1.0,2020.0,AL,24869.0,0.7367,1.0,2021.0,AL,25777.0,0.781,1.0,2022.0
AL,,,100724,1.0,1996.0,AL,,,1.0,1997.0,AL,,,1.0,1998.0,AL,,,1.0,1999.0,AL,,,1.0,2000.0,AL,,,1.0,2001.0,AL,,0.6931,1.0,2002.0,AL,,0.5042,1.0,2003.0,AL,,0.5042,1.0,2004.0,AL,,0.5071,1.0,2005.0,AL,,0.6698,1.0,2006.0,AL,,0.4159,1.0,2007.0,AL,,0.4228,1.0,2008.0,AL,14000.0,0.4625,1.0,2009.0,AL,14390.0,0.4372,1.0,2010.0,AL,15986.0,0.508,1.0,2011.0,AL,17533.0,0.4604,1.0,2012.0,AL,17400.0,0.5125,1.0,2013.0,AL,18184.0,0.5326,1.0,2014.0,AL,18100.0,0.4639,1.0,2015.0,AL,19242.0,0.459,1.0,2016.0,AL,19413.0,0.9787,1.0,2017.0,AL,21476.0,0.9774,1.0,2018.0,AL,21866.0,0.969,1.0,2019.0,AL,21892.0,0.9888,1.0,2020.0,AL,21938.0,0.9799,1.0,2021.0,AL,21900.0,0.966,1.0,2022.0
AL,,,100751,1.0,1996.0,AL,,,1.0,1997.0,AL,,,1.0,1998.0,AL,,,1.0,1999.0,AL,,,1.0,2000.0,AL,,0.7948,1.0,2001.0,AL,,0.8462,1.0,2002.0,AL,,0.867,1.0,2003.0,AL,,0.771,1.0,2004.0,AL,,0.7367,1.0,2005.0,AL,,0.7004,1.0,2006.0,AL,,0.6386,1.0,2007.0,AL,,0.6039,1.0,2008.0,AL,20496.0,0.587,1.0,2009.0,AL,21565.0,0.5358,1.0,2010.0,AL,21681.0,0.4353,1.0,2011.0,AL,23939.0,0.5308,1.0,2012.0,AL,26717.0,0.5655,1.0,2013.0,AL,26400.0,0.5105,1.0,2014.0,AL,27205.0,0.5359,1.0,2015.0,AL,28422.0,0.5259,1.0,2016.0,AL,28836.0,0.533,1.0,2017.0,AL,29424.0,0.5906,1.0,2018.0,AL,29872.0,0.8268,1.0,2019.0,AL,30016.0,0.8039,1.0,2020.0,AL,31050.0,0.789,1.0,2021.0,AL,31024.0,0.8006,1.0,2022.0
AL,,,100760,1.0,1996.0,AL,,,1.0,1997.0,AL,,,1.0,1998.0,AL,,,1.0,1999.0,AL,,,1.0,2000.0,AL,,,1.0,2001.0,AL,,,1.0,2002.0,AL,,,1.0,2003.0,AL,,,1.0,2004.0,AL,,,1.0,2005.0,AL,,,1.0,2006.0,AL,,,1.0,2007.0,AL,,,1.0,2008.0,AL,6658.0,,1.0,2009.0,AL,7109.0,,1.0,2010.0,AL,7485.0,,1.0,2011.0,AL,6726.0,,1.0,2012.0,AL,12103.0,,1.0,2013.0,AL,12054.0,,1.0,2014.0,AL,11475.0,,1.0,2015.0,AL,13868.0,,1.0,2016.0,AL,10045.0,,1.0,2017.0,AL,8824.0,,1.0,2018.0,AL,10493.0,,1.0,2019.0,AL,9437.0,,1.0,2020.0,AL,13930.0,,1.0,2021.0,AL,14041.0,,1.0,2022.0
AL,,,100812,1.0,1996.0,AL,,,1.0,1997.0,AL,,,1.0,1998.0,AL,,,1.0,1999.0,AL,,,1.0,2000.0,AL,,,1.0,2001.0,AL,,,1.0,2002.0,AL,,,1.0,2003.0,AL,,,1.0,2004.0,AL,,,1.0,2005.0,AL,,,1.0,2006.0,AL,,,1.0,2007.0,AL,,,1.0,2008.0,AL,,,1.0,2009.0,AL,,,1.0,2010.0,AL,,,1.0,2011.0,AL,,,1.0,2012.0,AL,,,1.0,2013.0,AL,,,1.0,2014.0,AL,,,1.0,2015.0,AL,,,1.0,2016.0,AL,,,1.0,2017.0,AL,,,1.0,2018.0,AL,,,1.0,2019.0,AL,,,1.0,2020.0,AL,,,1.0,2021.0,AL,,,1.0,2022.0
AL,,,100830,1.0,1996.0,AL,,,1.0,1997.0,AL,,,1.0,1998.0,AL,,,1.0,1999.0,AL,,,1.0,2000.0,AL,,,1.0,2001.0,AL,,0.9925,1.0,2002.0,AL,,0.9917,1.0,2003.0,AL,,0.9801,1.0,2004.0,AL,,0.9803,1.0,2005.0,AL,,0.9801,1.0,2006.0,AL,,0.9174,1.0,2007.0,AL,,0.9068,1.0,2008.0,AL,13372.0,0.9492,1.0,2009.0,AL,14367.0,0.9503,1.0,2010.0,AL,15179.0,0.7894,1.0,2011.0,AL,15594.0,0.7395,1.0,2012.0,AL,16556.0,0.8371,1.0,2013.0,AL,17903.0,0.8017,1.0,2014.0,AL,18665.0,0.7871,1.0,2015.0,AL,19255.0,0.7659,1.0,2016.0,AL,19892.0,0.824,1.0,2017.0,AL,18291.0,0.9281,1.0,2018.0,AL,19849.0,0.9044,1.0,2019.0,AL,20225.0,0.9555,1.0,2020.0,AL,20621.0,0.968,1.0,2021.0,AL,19771.0,0.9223,1.0,2022.0
AL,,,100858,1.0,1996.0,AL,,,1.0,1997.0,AL,,,1.0,1998.0,AL,,,1.0,1999.0,AL,,,1.0,2000.0,AL,,0.7594,1.0,2001.0,AL,,0.8289,1.0,2002.0,AL,,0.776,1.0,2003.0,AL,,0.8417,1.0,2004.0,AL,,0.8152,1.0,2005.0,AL,,0.7248,1.0,2006.0,AL,,0.6897,1.0,2007.0,AL,,0.7081,1.0,2008.0,AL,17966.0,0.795,1.0,2009.0,AL,19490.0,0.7867,1.0,2010.0,AL,21140.0,0.7,1.0,2011.0,AL,22352.0,0.7723,1.0,2012.0,AL,23788.0,0.8274,1.0,2013.0,AL,25282.0,0.8347,1.0,2014.0,AL,29164.0,0.7766,1.0,2015.0,AL,29794.0,0.8054,1.0,2016.0,AL,30458.0,0.8393,1.0,2017.0,AL,31282.0,0.7543,1.0,2018.0,AL,31590.0,0.8067,1.0,2019.0,AL,32196.0,0.8507,1.0,2020.0,AL,32678.0,0.7118,1.0,2021.0,AL,33650.0,0.4374,1.0,2022.0
AL,,,101028,1.0,1996.0,AL,,,1.0,1997.0,AL,,,1.0,1998.0,AL,,,1.0,1999.0,AL,,,1.0,2000.0,AL,,,1.0,2001.0,AL,,,1.0,2002.0,AL,,,1.0,2003.0,AL,,,1.0,2004.0,AL,,,1.0,2005.0,AL,,,1.0,2006.0,AL,,,1.0,2007.0,AL,,,1.0,2008.0,AL,5300.0,,1.0,2009.0,AL,5540.0,,1.0,2010.0,AL,6110.0,,1.0,2011.0,AL,6740.0,,1.0,2012.0,AL,6800.0,,1.0,2013.0,AL,6860.0,,1.0,2014.0,AL,6920.0,,1.0,2015.0,AL,6980.0,,1.0,2016.0,AL,6854.0,,1.0,2017.0,AL,8750.0,,1.0,2018.0,AL,7338.0,,1.0,2019.0,AL,10275.0,,1.0,2020.0,AL,9320.0,,1.0,2021.0,AL,9320.0,,1.0,2022.0
